path,clicks,impressions,ctr,position
"/stores/beauty-supplies-by-lucy-houston-77099-0496fb3e",0,227,0.00,6.3
"/salons/elle-salon-houston-f509652d",0,224,0.00,34.5
"/salons/style-city-beauty-bar-houston-d05165ef",0,224,0.00,8.9
"/stores/royal-beauty-supply-houston-77075-2eacc34c",0,224,0.00,9.4
"/salons/g-studio-hair-nail-salon-houston-82dd16bc",0,222,0.00,8.3
"/salons/chicks-hair-salon-and-barber-houston-4a5f674a",0,221,0.00,6.9
"/stores/religion-nail-supply-houston-77088-d880f571",0,219,0.00,5.1
"/salons/lt-hair-care-houston-e77f2a8f",0,218,0.00,4.2
"/salons/lux-beauty-houston-e9445e61",0,216,0.00,12.4
"/salons/the-lindsey-salon-houston-7fdbd299",0,216,0.00,8.7
"/stores/jolla-bella-beauty-supply-houston-77088-8764cb4a",0,214,0.00,7.2
"/stores/k-beauty-supply-houston-77099-a73292f8",0,213,0.00,11.3
"/stores/infinite-hair-and-beauty-houston-77085-47aae222",0,211,0.00,7.3
"/salons/salon-of-india-irving-f4105169",1,210,0.48,6.2
"/salons/salon-park-katy-houston-85138188",0,210,0.00,10.9
"/schools/v-a-beauty-academy-llc-sherman-30ab0d17",25,208,12.02,3.6
"/texas-barber-practical-exam-kit-list",8,206,3.88,6.4
"/stores/beauty-love-houston-77093-ba0b3faf",0,206,0.00,14.7
"/stores/elite-barber-parlour-houston-77098-4068b5a4",0,206,0.00,8.1
"/salons/salons-by-jc-meyerland-houston-ba794210",0,205,0.00,8.0
"/stores/mega-beauty-supply-houston-77096-95d33db4",0,205,0.00,7.2
"/schools/eyes-on-me-advanced-barber-college-watauga-078ddd40",6,204,2.94,3.5
"/salons/studio-nine-salon-suites-houston-55fdac8d",2,204,0.98,7.2
"/salons/ashley-hair-salons-houston-3b179fa2",1,204,0.49,5.1
"/salons/4fcf24ff-4329-4cc1-a2d2-703fb452fbb9",0,204,0.00,9.7
"/salons/blondetourage-salon-houston-67852a4c",0,204,0.00,8.3
"/stores/q-fashion-beauty-supply-houston-77093-4f32b6b1",0,204,0.00,6.5
"/salons/princess-beauty-salon-houston-9d2f1ab4",0,203,0.00,8.6
"/schools/collectiv-academy-fort-worth-fea8890d",0,202,0.00,10.1
"/stores/uptown-beauty-12-houston-77099-230c2ee0",0,201,0.00,12.1
"/salons/celebrity-spa-salon-college-station-ffc57afc",0,200,0.00,6.9
"/salons/glamour-curl-salon-spa-houston-21c7725c",0,200,0.00,7.6
"/salons/j-k-salon-and-hair-design-houston-a9da59e7",0,198,0.00,6.6
"/stores/the-beauty-cave-houston-77057-19e0a04a",0,198,0.00,6.3
"/stores/solid-gold-beauty-houston-77049-73d3ebd0",2,197,1.02,6.0
"/salons/beauty-hair-studio-by-kim-houston-d49f5379",0,195,0.00,7.6
"/salons/hair-and-beauty-by-nikki-l-houston-be217fbc",0,195,0.00,10.5
"/schools/riva-institute-of-cosmetology-llc-weslaco-0497a759",0,195,0.00,8.4
"/salons/keny-beauty-salon-llc-houston-95520a74",0,194,0.00,2.8
"/stores/beauty-vault-beauty-supply-houston-77069-d6da1a87",0,194,0.00,6.2
"/salons/modern-salon-houston-95e4d889",2,193,1.04,9.2
"/schools/arlington-beauty-college-arlington-71c8eec1",1,193,0.52,15.0
"/stores/coco-bella-hair-beauty-n-5-houston-77094-4087d54f",1,192,0.52,6.6
"/salons/salon-per-se-houston-7b8cebc4",0,192,0.00,9.8
"/salons/paris-hair-houston-8c85fc07",1,191,0.52,5.8
"/stores/jolla-bella-beauty-supply-houston-77048-dbd2ad94",1,191,0.52,8.7
"/stores/ulta-beauty-houston-77062-3e5ab311",0,190,0.00,9.8
"/salons/satori-salon-houston-e46777d3",0,189,0.00,8.0
"/stores/beauty-galaxy-houston-77090-0c17045c",0,189,0.00,5.7
"/shop/cool-heads-barbershop-fort-worth-alliance-fort-worth-83eb4e2b",0,187,0.00,7.4
