bucket,name,city,target_table,licenses
"seed","TRI-COMMUNITY ADULT EDUCATION","COVINA","agent_cosmetology_school_leads","cosmetology:2/3"
"seed","VR PROFESSIONAL BEAUTY ACADEMY","CITY OF INDUSTRY","agent_cosmetology_school_leads","cosmetology:24/28; esthetics:7/11; manicuring:9/12"
"seed","AMERICAN INSTITUTE OF EDUCATION","TUSTIN","agent_cosmetology_school_leads","cosmetology:0/2"
"seed","CALIFORNIA ELECTROLOGY ACADEMY","CORONA","agent_cosmetology_school_leads","cosmetology:5/12"
"seed","MONTEREY BAY INSTITUTE OF ELECTROLOGY","MONTEREY","agent_cosmetology_school_leads","cosmetology:11/12"
"seed","1ST ACADEMY OF BEAUTY","ROSEMEAD","agent_cosmetology_school_leads","cosmetology:1/1; esthetics:22/26"
"seed","ADRIAN'S BEAUTY COLLEGE OF TRACY","TRACY","agent_cosmetology_school_leads","esthetics:2/3"
"seed","DALLAS SKIN INSTITUTE","SANTA MONICA","agent_cosmetology_school_leads","esthetics:1/1"
"seed","DOWNEY ADULT SCHOOL","DOWNEY","agent_cosmetology_school_leads","esthetics:5/9"
"seed","FEDERICO COLLEGE, INC.","FRESNO","agent_cosmetology_school_leads","esthetics:0/1"
"seed","JADE BEAUTY AND BARBER COLLEGE","SAN JOSE","agent_cosmetology_school_leads","esthetics:3/4; manicuring:9/10"
"seed","LAWRENCE & COMPANY COLLEGE OF COSMETOLOG","SELMA","agent_cosmetology_school_leads","esthetics:1/1; manicuring:0/1"
"seed","MARINELLO SCHOOL OF BEAUTY","MURRIETA","agent_cosmetology_school_leads","esthetics:1/1"
"seed","PACIFIC STYLING COLLEGE","SANTA ANA","agent_cosmetology_school_leads","esthetics:2/2"
"seed","REDONDO BEACH BEAUTY COLLEGE","TORRANCE","agent_cosmetology_school_leads","esthetics:1/1; manicuring:10/13"
"seed","SAN DIEGO CITY COLLEGE, COSMETOLOGY DEPA","SAN DIEGO","agent_cosmetology_school_leads","esthetics:8/9; manicuring:9/9"
"seed","VICTORY CAREER COLLEGE","CARSON","agent_cosmetology_school_leads","esthetics:2/2; manicuring:2/2"
"seed","DANCKUTS INSTITUTE OF HAIR","LAGUNA HILLS","agent_cosmetology_school_leads","esthetics:2/2"
"seed","ABRAM FRIEDMAN OCCUPATIONAL CENTER, LOS","LOS ANGELES","agent_cosmetology_school_leads","esthetics:4/6"
"seed","BELLFLOWER BEAUTY COLLEGE OF LAKEWOOD","LAKEWOOD","agent_cosmetology_school_leads","esthetics:1/1"
"seed","COASTLINE BEAUTY COLLEGE","GARDEN GROVE","agent_cosmetology_school_leads","manicuring:3/3"
