bucket,name,city,target_table,licenses
"seed","MOLER BARBER COLLEGE","SAN PABLO","agent_cosmetology_school_leads","barber:0/1; cosmetology:3/5; esthetics:3/3"
"seed","MY BEAUTY & BARBER COLLEGE","SACRAMENTO","agent_barber_school_leads","barber:1/1"
"seed","MY-LE'S BEAUTY COLLEGE","SACRAMENTO","agent_cosmetology_school_leads","barber:0/1; cosmetology:5/11; esthetics:5/6; manicuring:21/24"
"seed","NEWBERRY SCHOOL OF BEAUTY","GRANADA HILLS","agent_cosmetology_school_leads","barber:8/10; cosmetology:16/22; esthetics:10/14; manicuring:5/5"
"seed","NORTH ADRIAN'S COLLEGE OF BEAUTY","MODESTO","agent_cosmetology_school_leads","barber:0/1; cosmetology:4/6; esthetics:2/2; manicuring:3/3"
"seed","PAUL MITCHELL THE SCHOOL COSTA MESA","COSTA MESA","agent_cosmetology_school_leads","barber:2/4; cosmetology:20/35; esthetics:23/24"
"seed","PAUL MITCHELL THE SCHOOL EAST BAY","PLEASANT HILL","agent_cosmetology_school_leads","barber:2/2; cosmetology:10/14; esthetics:5/7"
"seed","PAUL MITCHELL THE SCHOOL PASADENA","PASADENA","agent_cosmetology_school_leads","barber:5/7; cosmetology:5/12; esthetics:8/10"
"seed","PAUL MITCHELL THE SCHOOL SHERMAN OAKS","SHERMAN OAKS","agent_cosmetology_school_leads","barber:6/8; cosmetology:12/19; esthetics:12/15"
"seed","PAUL MITCHELL THE SCHOOL TEMECULA","TEMECULA","agent_cosmetology_school_leads","barber:2/5; cosmetology:13/16; esthetics:27/30"
"seed","POMONA UNIFIED SCHOOL DISTRICT, COSMETOL","POMONA","agent_cosmetology_school_leads","barber:4/5; cosmetology:6/13"
"seed","PRISTINE BARBER ACADEMY","SANTA MARIA","agent_barber_school_leads","barber:4/9"
"seed","PRO BARBER COLLEGE","TORRANCE","agent_barber_school_leads","barber:5/11"
"seed","PRO BARBER COLLEGE","WESTMINSTER","agent_barber_school_leads","barber:3/6"
"seed","RICHARD N. SLAWSON SOUTHEAST OCCUPATIONA","BELL","agent_cosmetology_school_leads","barber:1/1; cosmetology:1/2"
"seed","RIGGINS URBAN BARBER AND BEAUTY COLLEGE","SAN DIEGO","agent_cosmetology_school_leads","barber:4/6; cosmetology:1/1"
"seed","ROSSTON SCHOOL OF HAIR DESIGN","ONTARIO","agent_barber_school_leads","barber:7/12"
"seed","SABA BEAUTY SCHOOL","LAKE FOREST","agent_cosmetology_school_leads","barber:2/2; cosmetology:8/9; esthetics:4/7; manicuring:6/6"
"seed","SADDLEBACK BEAUTY ACADEMY","LAGUNA HILLS","agent_cosmetology_school_leads","barber:2/2; cosmetology:18/25; esthetics:23/25; manicuring:6/7"
"seed","SALON SUCCESS ACADEMY","UPLAND","agent_cosmetology_school_leads","barber:1/1; cosmetology:11/13; esthetics:15/18; manicuring:6/6"
"seed","SAN BERNARDINO BEAUTY COLLEGE","SAN BERNARDINO","agent_cosmetology_school_leads","barber:2/2; cosmetology:1/2; esthetics:5/10; manicuring:4/7"
"seed","SAN FRANCISCO INSTITUTE OF ESTHETICS & C","SAN FRANCISCO","agent_cosmetology_school_leads","barber:1/1; cosmetology:10/11; esthetics:7/9; manicuring:5/5"
"seed","SAN LUIS OBISPO BEAUTY COLLEGE","SAN LUIS OBISPO","agent_barber_school_leads","barber:1/1"
"seed","SANTA ANA BEAUTY ACADEMY","SANTA ANA","agent_cosmetology_school_leads","barber:1/1; cosmetology:3/6; esthetics:8/8"
"seed","SANTA ANA BEAUTY COLLEGE","SANTA ANA","agent_cosmetology_school_leads","barber:1/4; cosmetology:17/18; esthetics:4/9; manicuring:18/21"
"seed","SANTA MONICA COMMUNITY COLLEGE","SANTA MONICA","agent_cosmetology_school_leads","barber:1/1; cosmetology:9/12; esthetics:11/14; manicuring:1/1"
"seed","SANTA ROSA BARBER COLLEGE","SANTA ROSA","agent_barber_school_leads","barber:6/10"
"seed","SHASTA SCHOOL OF COSMETOLOGY","REDDING","agent_cosmetology_school_leads","barber:1/3; cosmetology:4/4; esthetics:6/7; manicuring:5/7"
"seed","SIERRA COLLEGE OF BEAUTY","MERCED","agent_cosmetology_school_leads","barber:3/8; cosmetology:6/7; esthetics:1/5; manicuring:1/1"
"seed","SIMI INSTITUTE OF COSMETOLOGY","SIMI VALLEY","agent_cosmetology_school_leads","barber:3/3; cosmetology:14/18; esthetics:8/11; manicuring:7/11"
"seed","SIMPLY DIVINE ACADEMY","MONROVIA","agent_cosmetology_school_leads","barber:2/2; cosmetology:1/2; esthetics:2/2"
"seed","SIMPLY DIVINE ACADEMY","YUBA CITY","agent_cosmetology_school_leads","barber:2/2; cosmetology:3/5; esthetics:7/8; manicuring:1/2"
"seed","SOUTH BAY BARBER INSTITUTE","GILROY","agent_barber_school_leads","barber:12/18"
"seed","SOUTHERN CALIFORNIA COLLEGE OF BARBER AN","ESCONDIDO","agent_cosmetology_school_leads","barber:1/1; cosmetology:2/2; esthetics:2/2"
"seed","STAY FRESH BARBER ACADEMY","ESCONDIDO","agent_barber_school_leads","barber:3/5"
"seed","STRAIGHT PERM BEAUTY SCHOOL.COM","LOS ANGELES","agent_cosmetology_school_leads","barber:5/7; cosmetology:2/3; esthetics:0/1; manicuring:3/4"
"seed","TOPLINE BEAUTY COLLEGE","SANTA ANA","agent_cosmetology_school_leads","barber:1/1; cosmetology:1/1; esthetics:3/3; manicuring:7/11"
"seed","URBAN BARBER COLLEGE","CONCORD","agent_barber_school_leads","barber:11/15"
"seed","VICTOR VALLEY COLLEGE","VICTORVILLE","agent_cosmetology_school_leads","barber:2/2; cosmetology:11/15; esthetics:12/12; manicuring:11/14"
"seed","WAYNE'S COLLEGE OF BEAUTY","SALINAS","agent_cosmetology_school_leads","barber:2/4; cosmetology:0/1; esthetics:4/4; manicuring:1/1"
"seed","WEST COAST BARBER COLLEGE","OCEANSIDE","agent_barber_school_leads","barber:6/7"
"seed","WEST VALLEY OCCUPATIONAL CENTER","WOODLAND HILLS","agent_cosmetology_school_leads","barber:5/5; cosmetology:11/13; esthetics:11/13; manicuring:12/16"
"seed","WESTERN BARBER INSTITUTE","RESEDA","agent_barber_school_leads","barber:15/18"
"seed","ABC ADULT SCHOOL","CERRITOS","agent_barber_school_leads","barber:3/4"
