Institution ID,School Name,City,Zip,Website,Student Body Size,Cost of Attendance,Completion Rate,1-Year Median Earnings,3-Year Default Rate,Pell Grant Rate,Federal Loan Rate,Median Student Debt,% Male,% Female,% Black,% Hispanic,% White
449904,Milan Institute of Cosmetology-San Antonio Military,San Antonio,78221,www.milaninstitute.edu/,225,8265,0.5297,15046,0,0.6995,0.6114,6333,0.0844,0.9156,0.0844,0.8089,0.0533
450711,Trend Barber College,Houston,77090,trendbarbercollege.com/,61,13600,0.5781,13737,0,0.7554,0.705,12794,0.8033,0.1967,0.8525,0.0984,0.0328
451547,Manuel and Theresa's School of Hair Design-Bryan,Bryan,77803,www.manuelandtheresasschoolofhair.com/,13,15000,0.8788,20692,0,0.6429,0.7143,7924,0.0769,0.9231,0.0769,0.6154,0.3077
458043,DuVall's School of Cosmetology,Bedford,76021,duvallschool.com/,65,11400,0.6265,26412,0,0.6054,0.6531,7917,0.0462,0.9538,0.2308,0.2308,0.3077
458061,Texas Beauty College,Haltom city,76117,texasbeautyinfo.com/,38,8217,0.875,17246,N/A,0.8587,0,N/A,0.0789,0.9211,0.0263,0.2632,0
458098,The Salon Professional Academy-Lewisville,Lewisville,75067,www.tspadallas.com/,132,16750,0.7284,22143,0,0.3388,0.4898,7917,0.0227,0.9773,0.0985,0.1212,0.7197
459523,ABC Beauty Academy,Richardson,75081,www.abcbeautyacademy.webs.com/,52,8217,0.8696,20397,N/A,0.9307,0,N/A,0.1538,0.8462,0.1923,0.0385,0.0385
459532,Salon & Spa Institute,Brownsville,78520-8809,www.ssi.edu/,71,12125,0.7231,9709,0,0.2963,0.3037,8212,0.0141,0.9859,0,0.9718,0.0141
460534,Milan Institute of Cosmetology-El Paso,El Paso,79936,www.milaninstitute.edu/,448,12859,0.5135,15046,0,0.67,0.5994,6333,0.0871,0.9129,0.0335,0.8638,0.0647
460978,Ogle School Hair Skin Nails-North Dallas,Dallas,75248-1216,www.ogleschool.edu/,312,15700,0.6441,19872,0,0.6151,0.5198,7917,0.016,0.984,0.4167,0.234,0.2147
461740,Buckner Barber School,Dallas,75217-1775,www.invictuscc.edu/,38,15185,0.6136,27850,0,0.7917,0.8056,N/A,0.7632,0.2368,0.8158,0.1579,0.0263
470296,Manuel and Theresa's School of Hair Design-Victoria,Victoria,77902-7076,www.manuelandtheresasschoolofhair.com/,18,15000,0.8,20692,0,0.72,0.76,7924,0.1111,0.8889,0.0556,0.7778,0.1667
475662,UCAS University of Cosmetology Arts & Sciences-La Joya,La Joya,78560-4018,www.ucastx.com/,51,12650,0.6154,13830,0,0.988,0.7711,6447,0,1,0,1,0
476540,Vogue College of Cosmetology-San Antonio Fredericksburg,San Antonio,78201-5035,vogue.edu/,90,15250,0.7,19450,0,0.7,0.645,6333,0.0333,0.9667,0.1,0.7444,0.1222
476559,Vogue College of Cosmetology,San Antonio,78238-4402,vogue.edu/,92,15200,N/A,16258,0,0.6825,0.6085,6333,0.0326,0.9674,0.0435,0.8913,0.0652
476896,Wade Gordon Hairdressing Academy,Amarillo,79109,www.wadegordonacademy.com/,129,11600,0.4963,20071,0,0.6538,0.649,9833,0.4031,0.5969,0.1008,0.5271,0.2636
478591,Ogle School Hair Skin Nails-Denton,Denton,76205-7534,www.ogleschool.edu/,228,16500,0.7402,19689,0,0.5791,0.5678,7917,0.0132,0.9868,0.2149,0.2544,0.4386
