page,clicks,impressions,ctr_pct,position
"https://agency.innergcomplete.com/salons/house-of-haircology-texture-llc-houston-7b43273c",3,36,8.33,4.2
"https://agency.innergcomplete.com/salons/inhairited-touch-salon-houston-084756c2",3,27,11.11,14.0
"https://agency.innergcomplete.com/salons/juanitas-isa-iris-hair-salon-2-houston-75ad5358",3,75,4.00,6.1
"https://agency.innergcomplete.com/salons/lizbetee-african-hairbraiding-and-beauty-house-houston-houston-27138628",3,132,2.27,3.3
"https://agency.innergcomplete.com/salons/nd-beauty-studio-houston-ae72dad8",3,22,13.64,5.3
"https://agency.innergcomplete.com/salons/neas-market-salon-houston-3765a198",3,53,5.66,4.3
"https://agency.innergcomplete.com/salons/salon-of-india-irving-f4105169",3,781,0.38,5.0
"https://agency.innergcomplete.com/salons/slt-hair-salon-latajah-stylist-houston-c3b0f28d",3,35,8.57,4.9
"https://agency.innergcomplete.com/salons/the-orlando-salon-houston-89e6ef37",3,1276,0.24,7.1
"https://agency.innergcomplete.com/salons/veyra-nail-studio-houston-94f4aa1a",3,51,5.88,3.6
"https://agency.innergcomplete.com/salons/ziba-hair-salon-austin-b06916af",3,165,1.82,5.4
"https://agency.innergcomplete.com/schools/a-r-c-institute-beauty-and-barbering-pasadena-dd1fc25c",3,27,11.11,5.4
"https://agency.innergcomplete.com/schools/aisd-career-tech-center-arlington-601ea8ce",3,27,11.11,6.5
"https://agency.innergcomplete.com/schools/blanco-s-flawless-barber-school-carrollton-62ce5e0d",3,12,25.00,11.1
"https://agency.innergcomplete.com/schools/central-texas-barber-college-killeen-34046f83",3,26,11.54,13.1
"https://agency.innergcomplete.com/schools/ecl-beauty-school-llc-houston-7a3cb9b9",3,31,9.68,4.0
"https://agency.innergcomplete.com/schools/hill-college-johnson-county-campus-cleburne-b16e0eb7",3,53,5.66,7.8
"https://agency.innergcomplete.com/schools/horizon-high-school-el-paso-1bf99349",3,8,37.50,4.3
"https://agency.innergcomplete.com/schools/lucianis-victoria-beauty-academy-irving-7cc8c16b",3,17,17.65,2.5
"https://agency.innergcomplete.com/schools/luxury-aesthetics-llc-san-antonio-e9962626",3,105,2.86,6.1
"https://agency.innergcomplete.com/schools/monterey-high-school-lubbock-7b70bb32",3,14,21.43,8.9
"https://agency.innergcomplete.com/schools/north-central-texas-college-gainesville-4043c09d",3,59,5.08,7.2
"https://agency.innergcomplete.com/schools/prospect-barber-institute-llc-mesquite-b7d7a1d2",3,50,6.00,6.8
"https://agency.innergcomplete.com/schools/texas-institute-of-nails-esthetics-tyler-9df15f49",3,75,4.00,11.6
"https://agency.innergcomplete.com/schools/vernon-college-wichita-falls-fe75e1f3",3,78,3.85,8.2
"https://agency.innergcomplete.com/shop/country-cutz-barbershop-south-austin-austin-938eb32d",3,49,6.12,6.1
"https://agency.innergcomplete.com/shop/sirsam-barbershop-houston-77085-7b279cd8",3,88,3.41,2.4
"https://agency.innergcomplete.com/stores/beauty-corner-beauty-supply-store-houston-77065-aa7e3a7e",3,45,6.67,3.1
"https://agency.innergcomplete.com/stores/coco-bella-hair-beauty-n-2-pearland-9bdcde02",3,197,1.52,6.3
"https://agency.innergcomplete.com/stores/jb-s-hair-beauty-supply-santa-rosa-227ab00d",3,34,8.82,6.8
"https://agency.innergcomplete.com/stores/scissors-scotch-houston-77009-50bf0a2f",3,318,0.94,18.6
"https://agency.innergcomplete.com/stores/solid-gold-beauty-houston-77049-73d3ebd0",3,256,1.17,5.9
"https://agency.innergcomplete.com/barbers/5trimbuka-tx-cc9eb13b",2,15,13.33,5.3
"https://agency.innergcomplete.com/barbers/anwarcutz6-tx-ff21ea01",2,6,33.33,18.0
"https://agency.innergcomplete.com/barbers/f-lix-barber-tx-efdb6e13",2,26,7.69,7.9
"https://agency.innergcomplete.com/barbers/free-will-barber-studio-luxury-grooming-tx-63ccbe11",2,6,33.33,6.2
"https://agency.innergcomplete.com/barbers/guccithebarber-tx-26d054fd",2,57,3.51,7.0
"https://agency.innergcomplete.com/barbers/malik-faded-that-tx-0b93b6f0",2,19,10.53,5.5
"https://agency.innergcomplete.com/barbers/paradise-barber-studio-houston-77024-c321b68a",2,9,22.22,12.2
"https://agency.innergcomplete.com/barbers/peters-dominicana-barber-shop-tx-e9881022",2,20,10.00,13.3
"https://agency.innergcomplete.com/barbers/plugged-in-tx-76695cb1",2,15,13.33,8.3
"https://agency.innergcomplete.com/barbers/the-choppin-blok-luxury-grooming-studio-houston-77002-12713b66",2,10,20.00,4.6
"https://agency.innergcomplete.com/barbers/thebarbernaut-tx-222551b6",2,4,50.00,5.3
"https://agency.innergcomplete.com/barbers/tulio-barber-tx-a41497a3",2,7,28.57,7.3
"https://agency.innergcomplete.com/cosmetologists/leandria-burton-cosmetologist-houston-2cc19619",2,11,18.18,4.5
"https://agency.innergcomplete.com/events/houston-barber-expo-2026-houston-ca47e806",2,51,3.92,12.4
"https://agency.innergcomplete.com/salons/1-hair-salon-houston-bba347e4",2,87,2.30,8.1
"https://agency.innergcomplete.com/salons/360-pro-beauty-houston-ea88c63b",2,179,1.12,8.2
"https://agency.innergcomplete.com/salons/acennett-s-beauty-salon-houston-007ea489",2,38,5.26,4.1
"https://agency.innergcomplete.com/salons/alicia-beauty-salon-houston-3606c0a7",2,39,5.13,8.7
"https://agency.innergcomplete.com/salons/angels-haus-of-beaute-houston-7bfdbc9a",2,31,6.45,8.2
"https://agency.innergcomplete.com/salons/areli-s-beauty-salon-barber-houston-dfef19bf",2,89,2.25,4.3
"https://agency.innergcomplete.com/salons/b-o-s-s-barber-beauty-headquarters-4-houston-71bd28f9",2,105,1.90,5.1
"https://agency.innergcomplete.com/salons/beautyloungehtx-houston-22fdadf0",2,39,5.13,5.8
"https://agency.innergcomplete.com/salons/best-little-hair-house-in-texas-beaumont-0a493bfb",2,52,3.85,8.7
"https://agency.innergcomplete.com/salons/bg-hair-artist-beauty-studio-houston-6a369ece",2,82,2.44,7.4
"https://agency.innergcomplete.com/salons/carolina-s-beauty-salon-houston-39b347c3",2,25,8.00,9.9
"https://agency.innergcomplete.com/salons/domilizz-african-braids-houston-e969a815",2,147,1.36,6.5
"https://agency.innergcomplete.com/salons/ebenezer-beauty-salon-african-hair-braiding-tyler-64c46162",2,113,1.77,3.4
"https://agency.innergcomplete.com/salons/elvira-s-beauty-sal-n-barbershop-houston-3888537b",2,76,2.63,6.6
"https://agency.innergcomplete.com/salons/esperanza-s-hair-salon-houston-8961e82f",2,87,2.30,4.6
"https://agency.innergcomplete.com/salons/global-spa-salon-suites-houston-660cedb6",2,66,3.03,7.2
"https://agency.innergcomplete.com/salons/goldenhand-braids-salon-houston-f72c107d",2,41,4.88,5.0
"https://agency.innergcomplete.com/salons/hair-by-michael-farris-san-antonio-9ed0a986",2,40,5.00,6.0
"https://agency.innergcomplete.com/salons/hair-by-nickibell-houston-a9c2dd68",2,15,13.33,7.4
"https://agency.innergcomplete.com/salons/hair-by-vincent-houston-d5d5adb0",2,82,2.44,9.1
"https://agency.innergcomplete.com/salons/hauck-s-hair-haven-houston-88816412",2,79,2.53,4.3
"https://agency.innergcomplete.com/salons/htx-beauty-lab-lash-supply-houston-64ac829e",2,65,3.08,4.1
"https://agency.innergcomplete.com/salons/jade-beauty-salon-brownsville-642e904d",2,45,4.44,6.4
